Attribute Name,Data Type,Is archived?,Archiver config
State,DevState (Enum),Yes,Change Event
Status,DevString,No,
actualPointing,DevString,No,
adminMode,AdminMode (DevEnum),No,
buildState,DevString,No,
commandedState,DevState (Enum),No,
controlMode,ControlMode (Enum),No,
dishlnPointingDevName,DevString,No,
dishMasterDevName,DevString,No,
dishMode,DishMode (DevEnum),No,
globalPointingModelParams,DevString,Yes,Change Event
healthState,HealthState (DevEnum),Yes,Change Event
isSubsystemAvailable,DevBoolean,Yes,Change Event
isAdminModeEnabled,DevBoolean,No,
kValue,DevShort,Yes,Change Event
kValueValidationResult,DevString,Yes,Change Event
lastPointingData,DevString,No,
loggingLevel,LoggingLevel (Enum),No,
pointingState,PointingState (DevEnum),No,
sdpQueueConnectorFqdn,DevString,No,
simulationMode,SimulationMode (DevEnum),No,
sourceOffset,DevDouble,No,
trackTableErrors,DevVarStringArray,No,
testMode,TestMode (DevEnum),No,
versionId,DevString,No,
_lrcEvent,DevVarStringArray,No,
loggingTargets,DevVarStringArray,No,
longRunningCommandIDsInQueue,DevVarStringArray,No,
longRunningCommandInProgress,DevVarStringArray,No,
longRunningCommandProgress,DevVarStringArray,No,
longRunningCommandResult,DevVarStringArray,No,
longRunningCommandStatus,DevVarStringArray,No,
longRunningCommandsInQueue,DevVarStringArray,No,
lrcExecuting,DevVarStringArray,No,
lrcFinished,DevVarStringArray,No,
lrcProtocolVersions,LrcMixedIn,No,
lrcQueue,DevVarStringArray,No,
