Attribute Name,Data Type,Is archived?,Archiver config
State,DevState (Enum),Yes,Change Event
Status,DevString,No,
activationTime,DevDouble,No,
adminMode,AdminMode (DevEnum),No,
buildState,DevString,No,
commandedObsState,ObsState (DevEnum),No,
commandedState,commandedState,No,
configurationDelayExpected,DevShort,No,
configurationProgress,DevShort,No,
controlMode,ControlMode,No,
healthState,HealthState (DevEnum),Yes,Change Event
internalModel,DevString,No,
isAdminModeEnabled,DevBoolean,No,
isSubarrayAvailable,DevBoolean,Yes,Change Event
lastDeviceInfoChanged,DevString,No,
loggingLevel,LoggingLevel (Enum),No,
obsMode,ObsMode (DevEnum),No,
obsState,ObsState (DevEnum),Yes,Change Event
sbID,DevString,No,
scanDuration,DevShort,No,
scanID,DevString,No,
simulationMode,SimulationMode (DevEnum),No,
testMode,TestMode (DevEnum),No,
transformedInternalModel,DevString,No,
versionId,DevString,No,
_lrcEvent,DevVarStringArray,No,
assignedResources,DevVarStringArray,No,
configuredCapabilities,DevVarStringArray,No,
loggingTargets,DevVarStringArray,No,
longRunningCommandIDsInQueue,DevVarStringArray,No,
longRunningCommandInProgress,DevVarStringArray,No,
longRunningCommandProgress,DevVarStringArray,No,
longRunningCommandResult,DevVarStringArray,No,
longRunningCommandStatus,DevVarStringArray,No,
longRunningCommandsInQueue,DevVarStringArray,No,
lrcExecuting,DevVarStringArray,No,
lrcFinished,DevVarStringArray,No,
lrcProtocolVersions,LrcMixedIn,No,
lrcQueue,DevVarStringArray,No,
